,Body,tags
22,"To come to this conclusion, we have perused Section 26 of the Hindu Marriage Act, 1955 as well as Sections 20 and 21 of the Hindu Adoptions and Maintenance Act, 1956. It is true that Section 26 of the Hindu Marriage Act,1955 deals with reference to the custody, maintenance and education of minor children. However, in our view, at least prima facie, the said Section cannot be read in isolation. Section 20 of the Hindu Adoptions and Maintenance Act, Pg 9 of 20 reserved.cam.25.2017 (Colabawalla).april.18.doc 1956 clearly stipulates that, subject to the provisions of this section, a Hindu is bound, during his or her lifetime, to maintain his or her legitimate or illegitimate children and his or her aged or infirm parents. It is further stipulated in the said section that the obligation of a person to maintain his unmarried daughter extends so far as she is unable to maintain herself out of her own earnings or other properties. Section 20 of the Hindu Adoptions and Maintenance Act, 1956 reads thus-",['26' '20' '21']
23,"The learned Judge of the original Court referring to Section 19 of the Hindu Marriage Act held that the conditions of that section for invoking the jurisdiction of his Court were not satisfied inasmuch as neither was the marriage solemnised within the jurisdiction of his Court, nor was it the case that the husband and wife resided or last resided together within the jurisdiction of his Court. It was claimed before the learned Judge that even if conditions of Section 19 of the Hindu Marriage Act were not complied with, in the instant case the Court would have jurisdiction under Section 20, Civil Procedure Code, which was expressly made applicable to proceedings under the Hindu Marriage Act by Section 21.",['19' '20' '21']
24,"If conditions as existing between the parties are such as not to bring Into play the provisions of Section 19 of the Act, then it cannot be said that the action has been commenced at a place and in a Court other than the Court in which it ought to be commenced. Primarily by applicalion of the provisions of Section 19 of the Hindu Marriage Act if there is a competition between two juristictions, it is undoubtedly true that that Court will have jurisdiction which satisfies conditions of Section 19 of the Hindu Marriage Act. But in the case of a spouse like the petitioner, who cannot satisfy the condition of Section 19, the residuary remedy that is made available to the petitioner by application of the provisions of the Civil Procedure Code in general, and in particular, of Section 20 regarding the place of suing, must be made available to a litigant for relief under the Hindu Marriage Act. In this aspect of the case, In my opinion, the view taken by the Courts below is not sustainable and the denial of jurisdiction by the first Court will not be justified.",['19' '20']
25,"In our view, on proper construction of the relevant provisions it is not possible to uphold the preliminary objection. In the first place it is difficult to accept the contention that the substantive provision contained in s. 25 C.P.C. is excluded by reason of s. 21 of the Hindu Marriage Act, 1955. Section 21 of the Hindu Marriage Act merely provides: ""Subject to other provisions contained in this Act and to such rules as the High Court may make in that behalf, all proceedings under this Act shall be regulated, as far as may be, by the Code of Civil Procedure, 1908"". In terms s. 21 does not make any distinction between procedural and substantive provisions of C.P.C. and all that it provides is that the Code as far as may be shall apply to all proceedings under the Act and the phrase ""as far as may be"" means and is intended to exclude only such provisions of the Code as are or may be inconsistent with any of the provisions of the Act. It is impossible to say that such provisions of the Code as partake of the character of substantive law are excluded by implication as no such implication can be read into s. 21 and a particular provision of the Code irrespective of whether it is procedural or substantive will not apply only if it is inconsistent with any provision of the Act. For instance, it is difficult to countenance the suggestion that the doctrine of res judicata contained in s. 11 of the Code which partakes of the character of substantive law is not applicable to proceedings under the Act. Res judicata, after all, is a branch or specie of the Rule of Estoppel called Estoppel by Record and though Estoppel is often described as a rule of evidence, the whole concept is more correctly viewed as a substantive rule of law (See: Canada and Dominion Sugar Co. Ltd. v. Canadian National (West Indies) Steamships Ltd.",['21']
26,"Section 21 of the Hindu Marriage Act does not as such provide for any discretion to be exercised by the Court in the matter of transfer. However, by the introduction of Section 21A, specific provision has been made to deal with a situation where one party has filed a petition before one Court and the other party has filed a petition for a similar relief in the other Court. However, the application of Section 21A is restricted to a petition under Section 10 or a petition under Section 13 of the Hindu Marriage Act. But Section 21A is not exhaustive in the matter of transfer of cases. Section 21A does not cover the several situations warranting transfer of one case to the other Court either for simultaneous disposal or for joint trial. These situations are covered by Section 24 of the Code of Civil Procedure. The special provision, namely, Section 21A of the Hindu Marriage Act, would not curtail the general power of the Court contained in Section 24 of the Code of Civil Procedure. Therefore, in cases where a transfer is sought for and it is not covered by Section 21A, still the Court can exercise the power for transfer under Section 24 of the Code of Civil Procedure.",['10' '13' '21' '24']
27,"The learned counsel Smt. Mira Sarma, on behalf of the petitioner submitted that only appeal lies against all the decrees including ex parte decree, and has referred Section 28(1) of the Hindu Marriage Act (Amended in 1976). She further submitted that a petition under Order 9, Rule 13 C.P.C. is not maintainable in view of the clear mandatory provision of Section 28(1) of the Hindu Marriage Act. On the other hand, the learned counsel Shri B. M. Goswami for the opposite party submitted that a petition under O. 9 Rule 13 will also be maintainable in spite of the provisions under Section 28(1) of the Hindu Marriage Act, because all proceedings under Hindu Marriage Act are regulated by the Civil P.C. He has referred Section 21 of the Hindu Marriage Act. Now the point for decision is, whether a petition under Order 9 Rule 13 is maintainable for setting aside an ex parte decree passed under the Hindu Marriage Act. ",[' 28A' '21']
28,"We do not propose to determine that question as we are of opinion that we can record the compromise and decree divorce on that basis under the general procedure provided in Order 23, Rule 3 of the Civil P.C. which applies to the proceedings under the Hindu Marriage Act in view of Section 21 thereof. All that we have said hereinbefore is that we can not decree divorce solely on the basis of compromise unless we are also satisfied that a ground for divorce specified in the Statute can be traced on the record In the case at hand it is on record that the parties have fought with severest bellicosity in the Courts below for about two years, the charge of the husband being mental disorder of the wife and that of the wife being cruelty and physical tenure by the husband. Having lost at the first bout in the trial Court, the husband has filed this appeal and the parties were contesting the same with all severity for about two years in this Court. They are living separately during all these years and both of them have sworn in their joint-affidavit that they have not been nor would be able to live together. To the same effect is their statement before us when we directed them to appear before us in the Chamber to ascertain the truth of their averments made in the joint-application. If the spouses could not live together, do not live together and they swear that they would no longer live or able to live together, then we have no doubt that ""desertion"" by the one of the other is complete whoever might have given the initial cause because all the three elements that generally go to constitute ""desertion"" namely, the factum of separation, the animus deserendi, i.e., the intention to live apart and the animus non-revertendi, i.e., the intention not to revert to the matrimonial home stare at the face. Being thus satisfied as to the existence of a ground justifying divorce under the Hindu Marriage Act, we should not and do not have any hesitation to direct recording of the compromise and to decree divorce in accordance with such compromise and we direct accordingly. We have noted that a learned single Judge of the Delhi High Court (Punjab and Haryana High Court) in Davinder v. Loveleen, (1982) 2 DMC 5 and also a learned single Judge of the Bombay High Court in Sudhakarv. Sulabha, (1986) 1 DMC 336 also adopted such a course; but while the learned Delhi (Punj and Har High Court) Judge has not given any reasons therefor the learned Bombay Judge, while spelling out some reasons, has not adverted to the various aspects which we have considered here.",['21']
29,"The counsel for the respondent contended that the prayer made in I.A.No.92 of 2019 is in the nature of a direction to the respondent invoking Section 151 of C.P.C. and that the petitioner could have only invoked provisions relating to injunction contained in the Specific Relief Act, 1963 before a competent Civil Court and not the Family Court. She further contended that petitioner did not make out any prima facie case, that he did not have balance of convenience for grant of relief in the nature of injunction and no irreparable injury would be caused to him. She stated that Section 22 of the Hindu Marriage Act offers adequate protection to the petitioner.",['22']
30,"It is not disputed by the counsel for the respondent that Sub- Section (1) of Section 22 of the Hindu Marriage Act, 1955 mandates that every proceeding under the said Act should be conducted in camera and further prohibits any person to print or publish any matter in relation to any such proceeding except a judgment of a High Court or the Supreme Court printed or published with the previous permission of the Court. Sub-Section (2) of Section 22 states that if any person prints or publishes any matter in contravention of the provisions contained in Sub-Section (1), he shall be punishable with fine which may extend to Rs.1000/-.",['23']
31,"Thus, the Hindu Marriage Act, 1955 itself prohibits publication or printing of any matter in relation to a proceeding under the said Act. If so, there is no necessity for the petitioner to produce proof of any such publication in contravention of Sub-Section (1) of Section 22 by the respondent to seek the interim relief of restraining the respondent from making any such publication in the Media, Print or Electronic or Social media, without the permission of the Court.",['24']
32,"The revision petitioner has filed O.P.No.569 of 2004 on the file of the Principal Family Court, Chennai for divorce. She filed an application in I.A.NO.848 of 2004, in the above O.P., to restrain the respondents 2 to 5 in any manner, printing or publishing the proceedings relating to the institution of the petition filed by her before the Family Court or carry any other recital as news item in the telecast or their respective publication and to punish them for any such violation. The trial Court dismissed the said I.A., on the ground that the respondents have not contravened the provisions of Section 22 of the Hindu Marriage Act and that they are not liable for any punishment under the provisions of the said Act and if they contravene the said provision, action has to be taken before the appropriate forum. Before this Court, the first respondent has agreed that the proceedings may be conducted ""in camera"" and that no publicity be given. On the other hand, the press had contended that the provisions of Section 11 of the Family Court will have an overriding effect on Section 20 of the Hindu Marriage Act.",['11' '20' '22']
33,"In the above circumstances, C.M.P.No.16153 OF 2004, taken out by the first respondent is allowed in part and the interim stay already granted by this Court on 29.09.2004 in C.M.P.No.15875 of 2004 is vacated only with regard to conduct of further trial in the original petition. However, the respondents 2 to 5 are restrained from publishing or telecasting the matrimonial proceedings relating to the revision petition in any way in view of Sec.22 of the Hindu Marriage Act, 1955.""",['22']
34,"In the case of R.SRIDHAR Vs. R. SUKANYA (2004 Law Suit (Mad) 1327), the Madras High Court held that the Family Courts Act is only a procedural law and the substantive law relating to family matters may vary from person to person depending on the religion and the respective personal laws. When a Family Court deals with the matrimonial disputes of Hindu, it has to only enforce the provisions of the Hindu Marriage Act and Section 22 of the said Act in this regard is mandatory. The section confers a discretion on the Judge and also grants a right to the parties to have the proceedings held in camera. In fact Section 11 of the Act confers a special right on the party to demand in camera proceedings and there is no discretion vested with the Court when such a request is made by either party to the dispute.",['22']
35,"Sections 23 and 24 of the Hindu Marriage Act have been placed side by the legislature sub-Section (2) of Section 23 posits that before proceeding to grant any relief under the Hindu Marriage Act. It shall be the duty of the Court, at the first instance, in every case where it is possible to do so consistently with the nature and circumstances of the case, to make every endeavour to bring about a reconciliation between the parties. Section 24 provides that where in any proceeding under, the Hindu Marriage Act it appears to the Court that either the wife or the husband, as the case may be, has no independent income sufficient for her or his support and the necessary expenses of the proceedings, it may, on the application of the wife or the husband, order the respondent to pay to the petitioner the expenses of the proceeding, and monthly during the proceeding such sum as, having regard to the petitioner's own income and the income of the respondent, it seems to the Court reasonable",['23' '24']
36,"I find no real difference between the objects as contained in sub-Section (2) of Section 23 of the Hindu Marriage Act and Section 9. The Act by itself does not provide for any suit or proceeding. The suit or proceedings, as already explained, are referred to in Explanation to Section 7. Those suits and proceedings are recognised under different statues, one of them being the Hindu Marriage Act. Therefore, sub-Section (2) of Section 23 has not been abrogated or repealed by Section 9. It follows that Section 9 has brought about no change in the legal position that the provisions as contained in sub' Section (2) of Section 23 of the Hindu Marriage Act do not control the proceedings under Section 24 of that Act. Again, the draftman, in Section 9, has taken care to emphasise that an endeavour to bring about a settlement between the parties should be made where it is possible to do so consistent with the nature and circumstances of the case. It is not intended in Section 9 that even though an indigent spouse can not either maintain himself or herself or prosecute or defend the litigation in which she or he is involved yet the Court should persuade him or her to arrive at a settlement in respect of the subject-matter of the suit or proceedings.",['7' '9' '24' '23']
37,"I have already set out the consent purshis as filed and the order of the Court made thereupon. The respondent also sought to suggest that the petitioner was taking advantage of his own wrong in filing the petition for divorce and, therefore, the divorce should be refused to him. Obviously, this has reference to the provisions contained in Section 23 of the Hindu Marriage Act, 1955. In the alternative the respondent asked for alimony at the rate of Rs. 100 per month.",['23']
38,"Having heard learned Counsel for the parties and on consideration of the provisions of Section 24 of the Hindu Marriage Act and that of Section 125 of Cr. P.C., it is seen that remedies available to an aggrieved person under both these Sections are quite independent. Rejection of application under Section 125 of Cr. P.C. is not a bar for granting maintenance under Section 24 of the Hindu Marriage Act.",['24']
39,"There is no provision in the Hindu Adoptions and Maintenance Act for granting maintenance pendente lite and expenses of proceedings as provided for in Section 24 of the Hindu Marriage Act 1955. Hence, I do not find anything in the scheme of the provisions of Section 24 of the Hindu Marriage Act which is inconsistent with the provisions of the Hindu Adoptions and Maintenance Act so as to attract the bar of clause (b) of Section 4 of the Hindu Adoptions and Maintenance Act. Undoubtedly, if there were to be any other law in force immediately before the commencement of the Hindu Adoptions and Maintenance Act 1956, it would cease to apply to Hindus in so far as it is inconsistent with any of the provisions contained in the Hindu Adoptions and Maintenance Act. However, I do not find any inconsistency between the provisions of Section 24 of the Hindu Marriage Act and the provisions of Section 18 of the Hindu Adoptions and Maintenance Act. In my view, therefore, the argument based on the provisions clause (b) of Section 4 of the Hindu Adoptions and Maintenance Act has no force. The learned trial Judge has rightly held that having regard to the wild and baseless allegations made by the husband in his Petition for divorce filed in the Mathura Court, the wife could be justified in entertaining an apprehension that it would be dangerous for her to live with the husband. In this behalf, I am bound by the decision of the Division Bench of this Court in A. v. B, reported in 80 Bombay LR 384, referred to above, Similarly, in view of the decision of this Court in Smt. Gangu Pundlik Waghmare v. Pundlik Maroti Waghmare , it would not be permissible for me to refuse to award maintenance pendente lite and the expenses of the proceedings to the wife merely because there are wild and baseless allegations made by the husband against the wife. In saying so. I cannot lose sight of the fact that the husband now does not even want to prosecute his Petition for divorce; meaning thereby that he does not even want to justify or prove the allegations made by him in the Petition for divorce.",['24' '4' '18']
40,A careful reading of the above Full Bench judgments would reflect that the Honble Full Benches did not examine the question as to whether an order made under Section 24 of the Hindu Marriage Act is a judgment as defined under Section 2(9) of the Code of Civil Procedure. The only question that the Full Benches examined was as to whether an order made under Section 24 of the Hindu Marriage Act is a final order or an interlocutory order.,['24']
41,"The learned Counsel for the appellant made a feeble attempt to say that an order granting maintenance under Section 24 of the Hindu Marriage Act should be regarded only as a 'judgment' and not an 'interlocutory order.' The very fact that an application under Section 24 of the Hindu Marriage Act is contemplated only as an interlocutory application in a main proceeding and the very fact that an order made under Section 24 of the Hindu Marriage Act automatically comes to an end with the disposal of the main proceedings, makes it impossible to accept the submission that the order is not an interlocutory order.",['24']
42,"The wife-appellant, who has appealed against a decree of divorce passed against her, has filed this application for maintenance pendente lite and cost of litigation under Section 24, Hindu Marriage Act, as well as for an order of temporary injunction restraining the husband-respondent from marrying again during the pendency of the appeal. The petitioner should have filed two separate applications for these two reliefs; but that being a matter of mere form and procedure, if she can make out her case for both the reliefs, the same or any of them should not be denied to her on the ground that she has failed to file two separate sets of paper.",['24']
43,"In view of the above provision, it was contended that when under the Hindu Adoptions and Maintenance Act. a Hindu wife is disqualified from claiming maintenance from her husband if she is unchaste, the legislature could not have intended by Section 25 of the Hindu Marriage Act to benefit such a person. The argument is no doubt, attractive, but if examined closely it is devoid of substance. What is contemplated in Section 18 (3) of the Hindu Adoptions and Maintenance Act is the right of a Hindu wife to separate residence and maintenance from her husband. Section 23 of the said Act deals with the quantum of maintenance which a Hindu wife can claim. The residence and maintenance envisaged in Sections 18 and 23 of the Hindu Adoptions and Maintenance Act are quite different from the maintenance under Section 25 of the Hindu Marriage Act. We can conceive of cases where an order for judicial separation was the result of single act of infidelity on the part of the wife. Thereafter there was nothing against her conduct. Is it possible for us to assume that Section 25 of the Hindu Marriage Act was not intended to benefit such a person? We do not think so. That the obiect of Section 25 of the Hindu Marriage Act is to provide for the payment of maintenance even after the dissolution of a marriage is clear. In those circumstances, Section 25 of the Hindu Marriage Act is wider in its scope and ambit than Section 18 of the Hindu Adoptions and Maintenance Act. Further it is not obligatory under Section 25 of the Hindu Marriage Act to grant maintenance as is required by Section 23 of the Hindu Adoptions and Maintenance Act. It may be that under Section 18 (3) of the Hindu Adoptions and Maintenance Act an unchaste wife will forfeit her separate residence and maintenance granted under that enactment. But that does not mean that the interpretation of Section 25 of the Hindu Marriage Act has to be restricted so as to applv it only to those cases where the wife is not guilty of adultery.",['25']
44,The plea of the appellant is that since judicial separation under Section 10 of the Hindu Marriase Act has been granted on the ground of adultery the respondent is not entitled to maintenance under Section 25 of the Hindu Marriage Act. An extreme position was taken that in such cases a court has no jurisdiction under Section 25 of the Hindu Marriage Act to decree maintenance. Apart from Section 25 (3) of the Hindu Marriage Act learned counsel for the appellant relied on the decision in Raia Gopalan v. Rajamma. 1966 Ker LT 891 = (AIR 1967 Ker 181) to support his contention.,['25']
45,"Crl.R.C.No.806 of 2019 Surendran2 and also particularly relying on Section 25 of the Hindu Marriage Act, vehemently contended before this Court that a narrow interpretation to clause (b) of explanation to Section 125 Cr.P.C. cannot be given and it cannot be restricted only to divorced wife and the benefit of the explanation has to be extended even to the woman whose marriage was annulled by a decree of nullity under Section 12 of the Hindu Marriage Act to prevent her from vagrancy and to alleviate her distress as a destitute woman by way of granting maintenance to her. He would submit that despite passing of decree of annulment of marriage that Section 25 of the Hindu Marriage Act still preserves the right of a woman to claim maintenance and the statute also retained the jurisdiction of the Court passing the said decree for the purpose of granting maintenance either at the time of passing the said decree or even subsequent thereto and as such, the same benefit conferred on such woman of annulled marriage under Section 25 of the Hindu Marriage Act is to be extended to her to enable her to claim maintenance even under Section 125 Cr.P.C. by bringing her within the sweep of the inclusive definition of ""wife"" on par with a divorcee under clause (b) of explanation to Section 125 Cr.P.C. In other words, it is his contention that Section 25 of the Hindu Marriage Act is to be read into Section 125 Cr.P.C. and also into clause (b) of explanation to Section 125 Cr.P.C. He also submits that this Section 25 of the Hindu Marriage Act was CMR,J.",['25']
46,"The learned counsel appearing for the appellant contended that the First Appellate Judge erroneously allowed the appeal, holding that the appellant cannot seek maintenance under Section 25 (2) of the Hindu Marriage Act without considering the scope of Section 25 of the Hindu Marriage Act and claim made by the appellant mechanically allowed the appeal as if the appellant is seeking enhancement of maintenance under Section 25(2) of the Hindu Marriage Act without considering the fact that appellant is seeking permanent alimony under Section 25 after divorce in addition to earlier order of maintenance of Rs.1,000/-, which is permissible in law. The learned Judge erred in holding that appellant cannot seek maintenance after disposal of divorce petition without seeking any interim maintenance. The learned Judge erred in holding that once decree of divorce is passed dissolving the marriage of the parties to the marriage they ceased to be husband and wife and subsequently they will not have any right and obligation against each other which they had during the subsistence of their marriage. The learned Judge failed to consider that appellant can seek permanent alimony or maintenance under Section 25 of the Hindu Marriage Act at any time subsequent to passing of decree for divorce and she is not https://www.mhc.tn.gov.in/judis C.M.S.A.No.11 of 2016 seeking any enhancement of maintenance under Section 25(2) of the Hindu Marriage Act. In support of his contention, the learned counsel appearing for the appellant relied on the following two judgments and prayed for allowing the appeal.",['25']
47,"The Trial Court, considering the pleadings, oral and documentary evidence, granted a sum of Rs.2,500/- per month as maintenance to the appellant. In C.M.A.No.2 of 2014 filed by the respondent, the First Appellate Court set aside the order passed by the Trial Court in H.M.O.P.No.26 of 2012. From the judgment of the First Appellate Judge, it is seen that the First Appellate Court allowed the appeal on the ground that appellant ought to have filed application under Section 25 (1) of the Hindu Marriage Act, holding that when the appellant did not claim permanent alimony or maintenance in the H.M.O.P. when the same was pending, she is not entitled to claim enhancement of maintenance under Section 25 (2) of the Hindu Marriage Act, subsequent to decree of divorce, as relationship of husband and wife ceased on the decree of divorce being granted. The learned Judge also held that since no order was passed under Section 25 (1) of the Hindu Marriage Act for pemanent alimony and maintenance, the appellant cannot seek for enhancement of maintenance under Section 25 (2) of the https://www.mhc.tn.gov.in/judis C.M.S.A.No.11 of 2016 Hindu Marriage Act. The reason given by the Appellate Court is erroneous.",['25']
48,"The appellant has filed H.M.O.P.No.26 of 2012 under Section 25 (2) of the Hindu Marriage Act for enhancement of maintenance on the ground that already, a sum of Rs.1,000/- is granted to her under provisions of the https://www.mhc.tn.gov.in/judis C.M.S.A.No.11 of 2016 Hindu Adoptions and Maintenance Act, 1956. On misconception, the appellant has filed H.M.O.P.No.26 of 2012 under Section 25 (2) of the Hindu Marriage Act, claiming enhancement of maintenance. A party can claim maintenance under the Hindu Marriage Act as well as under Hindu Adoptions and Maintenance Act. In the present case, under the provisions of the Hindu Marriage Act, the Court can consider the claim of party, namely wife herein, for claim of maintenance under Section 25 of the Hindu Marriage Act, even after disposal of H.M.O.P. for divorce. While granting maintenance under provisions of one Act, the Court has to take into consideration the maintenance already granted under the provisions of other Act and grant proper maintenance under the Hindu Marriage Act. The appellant has filed H.M.O.P.No.26 of 2012 under Section 25 (2) of the Hindu Marriage Act, on misconception in view of maintenance already granted under the Hindu Adoptions and Maintenance Act, 1956. The Court has discretionary power to convert H.M.O.P filed under Section 25 (2) of the Hindu Marriage Act to Section 25 (1) of the Hindu Marriage Act. A Division Bench of this Court, in the judgment dated 19.03.2021 made in C.M.A.No.1167 of 2017, relied on by the learned counsel appearing for the appellant, in the facts and circumstances of the case, converted the proceedings filed under Section 25 https://www.mhc.tn.gov.in/judis C.M.S.A.No.11 of 2016 (1) to 25 (2) of the Hindu Marriage Act and modified the compensation awarded by the Trial Court. In an appropriate cases, in the interest of justice, the Court can convert the wrong provision to correct provision and pass orders. In the present case, it is not in dispute that the respondent is working as a P.G. Assistant Teacher and was earning a sum of Rs.30,000/- per month at the time of filing of H.M.O.P. Due to passage of time and increase of salary granted by the authorities, the respondent will be getting more than Rs.30,000/- per month now. The respondent has not alleged and proved that appellant is having any independent income to maintain herself without support of t",['25']
49,"The first submission of Mr. Pendse learned counsel for the appellant, was that Section 25 of the Hindu Marriage Act merely confers a remedy but does not confer any right and hence to obtain an order for permanent alimony respondent No. 1 must establish her right under some other provision of law. It was pointed out by Mr. Pendse that neither under the customary Hindu Law nor under the Act of 1956 can it be said that respondent No. 1 has any right, as the marriage between her and the appellant was null and void and hence she cannot take advantage of the remedy granted by Section 25 of the Hindu Marriage Act. In my view, this submission of Mr. Pendse must be rejected. In the first place, on a plain construction of the language used in sub-section (1) of the Section 25 of the Hindu Marriage Act it is clear that a description is granted to the Court exercising jurisdiction under the Act at the time of passing any decree or thereafter, on application made to t either by the wife or the husband, to order that the respondent shall pay to the applicant such sum for her or his maintenance as set out therein. This power conferred upon the Court clearly creates a corresponding right in the wife or the husband to get maintenance provided the conditions laid down for the grant of the same are satisfied. It cannot, therefore, be said that Section 25(1) of the Hindu Marriage Act does not create any right at all. Secondly, it must be appreciated that a plain reading of this provision shows that it clearly contemplates that not only the wife but even the husband would in certain circumstance be entitled to get maintenance. Neither under the customary Hindu Law nor under the Act of 1956 is any right of maintenance given to the husband at all. Hence. if the submission of Mr. Pendse is accepted, it would mean that the provisions of sub-section (1) of Section 25 of the Hindu Marriage Act, in so far as they deal with the claim of the husband for maintenance, would be redundant; and such a construction should not normally be resorted to. Thirdly, it must be remembered that the Hindu Marriage Act is a codifying Act. It is well settled that the object of codification of a particular branch of law is that on any matter specifically dealt with by it, the law should be sought for in the codifying enactment itself. In view of this, the better construction of sub-section (1) of Section 25 of the Hindu Marriage Act seems to be that not only does it provide for a remedy but it also confers a right Finally, it must be remembered that the Act of 1956 came into force after the Hindu Marriage Act and hence it could not have been the object of Section 25(1) of the Hindu Marriage Act of create a remedy for the enforcement of a right subsequently created by the Act of 1956.",['25']
50,"The next submission of Mr. Pendse was that if the provisions of sub-section (1) of S. 25 of the Hindu Marriage Act are so construed as to entitle persons, who do not enjoy the status of a husband or wife, to get maintenance, such a construction would be inconsistent with the provisions of the Act of 1956 and in particular Section 18 thereof. It was pointed out by him that the Act of 1956 is a subsequent piece of legislation and under the provisions of Section 4(b) thereof any other law in force immediately before the commencement of that Act ceased to apply to Hindus in so far as it is inconsistent with any of the provisions contained in that Act. It was urged by Mr. Pendse that under Section 18 of the Act of 1956 the right to claim maintenance was given only to a lawfully wedded Hindu wife, and hence if a wider right is given by sub-section (1) of Section 25 of the Hindu Marriage Act, the provisions thereof would be inconsistent with the provisions of Section 18 of the Act of 1956. In my view, there is no inconsistency between the provisions of sub-section (1) of Section 25 of the Hindu Marriage Act and those of Section 18 of the Act of 1956. Assuming that on a true construction of Section 18 of the Act of 1956 a right is conferred only on a lawfully married Hindu wife to claim maintenance, it does not follow that the provisions of another statute where by parties to a Hindu marriage even other than a lawfully wedded Hindu wife are granted rights of maintenance would be inconsistent therewith. Moreover, it is not as if a wider construction of Section 25(1) of the said Act of 1955 would render the provisions of Section 18 of the Act of 1956 redundant. Under sub-section (1) of Section 18 of the Act of 1956 of Hindu wife is entitled to claim maintenance from her husband even without filing any petition for nullity or divorce or judicial separation or restitution of conjugal rights. Whereas there is nothing either in the provisions of Section 24 or Section 25 of the said Act of 1955 which confers any such right. This submission of Mr. Pendse must also be rejected.",['25' '4' '18']
51,"In support of his contention Mr. Pendse relied on the decision of a Division Bench of the Madras High court in Narayanaswami v. Padmanabhan, . The question there related directly to the provision of Section 4(1) of the Madras Hindu (Bigamy Prevention and divorce) Act, 1949, with which I am not concerned here. There are, however observation in this decision to the effect that Section 25 of the Hindu Marriage Act cannot be construed in such a manner as to hold that notwithstanding the nullity of the marriage the wire reliant her status for purposes of applying for alimony and maintenance. In the first place, these observations are admittedly obiter. The provisions of Section 25 of the Hindu Marriage Act were not before the Madras High Court for consideration nor were they considered in any detail. This appears clear from the observations to the effect that the proper construction; of Section 25 would be that were a marriage was admittedly a nulity, that section would have no application; but where the question of nullity is in issue and is contentious, the Court has to proceed on the assumption until the contrary is proved that the applicant was the wife. With respect, Section 25 of the Hindu Marriage Act deals with the stage at which a decree has been passed by a Court exercising jurisdiction under that Act or subsequent there to. Assuming that the question whether the marriage was a nulity or not might have been contentious before the decree was passed, once the decree was passed, it would no longer the contentious question. Hence, with great respect , one fails to see the relevance of the above mentioned observation in construing the provisions of Section 25(1) of the said Act. This is only to show that the provision of this subsection never came up directly for construction before the Madras High Court in this case, I may make it clear that with respect, I am unable to agree with the observation of the Division Bench of the Madras High Court which I have referred to above. ON the other hand. I find that the view, which I have taken has also been taken by a Single Judge of the Punjab High Court in Dayal Singh v. Bhajan Kaur, , where it has been observed that the Hindu Marriage Act has not been very carefully drafted and that the language of Section 25 has to be liberally construed.",['25']
52,"While incorporating these provisions in the Act, the Legislature always wanted to secure the interest of female spouse by liberally using the word ""husband"" or ""wife"". Otherwise, the very purpose of providing shelter to a woman will be defeated. The Legislature in its wisdom, if wanted to defeat the rights of a woman who has secured a decree under Section 11 of the Hindu Marriage Act, could conveniently say that ""any decree other than the decree obtained under Section 11 of the Hindu Marriage Act"". The moment the proceedings are launched under Section 25 of the Hindu Marriage Act, by a husband or by a wife in order to get the maintenance even after the passing of the decree, Section 24 of the Hindu Marriage Act will come into play as I will presently try to show.",['25']
53,"In fact, their Lordships never said that in such a -circumstance the petition under Section 25 of the Hindu Marriage Act is not legally maintainable or that she cannot file the application under Section 24 of the Hindu Marriage Act. The judgment of this Court reported as AIR 1999 Punjab and Haryana 229, has taken note of a Division Bench decision of Bombay High Court in which the similar proposition of law has been laid down, which was laid down by the Hon'ble Supreme Court.",['24' '25']
54,"In this view of the matter, I am not in a position to endorse the arguments and submissions raised by the learned counsel for the petitioner. Therefore, I hold that respondent has locus standi to file a petition under Section 25 of the Hindu Marriage Act irrespective of the fact that she obtained a decree under Section 11 of the Hindu Marriage Act. With that decree, still, she has the right to file an application under Section 24 of the Hindu Marriage Act. In this case the maintenance and litigation expenses, which have been granted to the respondent, cannot be held to be on the excessive side. Therefore, I find this revision without any merit and dismiss the same with costs, which are assessed at Rs. 500/-.",['11' '24' '25']
55,This appeal would be dismissed in the light of findings recorded in the judgment rendered in relations to the Appeal No. 29 of 2016 and Appeal no. 30 of 2016 vis-Ã - vis the guardianship and custody of the minor child under Section 7 read with Section 25 of the Guardians and Wards Act and Section 26 of the Hindu Marriage Act.,['21' '20' '26']
56,It is an appeal where wife has challenged the decree of divorce. Since the wife is agreed for an alimony under Section 25 in appeal No. 27 of 2016 and the same has been enhanced from Rs. 14.00 lakh which was settled in the agreement dated 15.03.2015 and the same has been enhanced to Rs. 18.00 lakh. The acceptance of the permanent alimony would amount to the dissolution as settled by agreement dated 15.03.2015 hence this appeal challenging the decree is dismissed.,['38']
57,"We will take up for consideration the point pertaining to the jurisdiction of the Family Court to entertain these petitions. Section 26 of the Hindu Marriage Act, under which orders were passed by the City Civil Judge, Bombay, giving custody of minor Varun to Usha reads as hereunder : In any proceeding under this Act, the Court may, from time to time, pass such interim orders and make such provisions in the decree as it may deem just and proper with respect to the custody, maintenance and education of minor children, consistently with their wishes, wherever possible and may, after the decree upon aplication by petition for the purpose, make from time to time, all such orders and provisions with respect to the custody, maintenance and education of such children as might have been made by such decree or interim orders in case the proceedings for obtaining such decree were still pending, and the Court may also from time to time revoke, suspend or vary any such orders and provisions previously made.",['26']
